Call Sign,Active PI Code,Frequency,Facility ID,City of License,State,Location,Date Allocated,Edit
WAFJ,5533,88.3,54859,BELVEDERE,SC,"33° 24' 29.50"" N 81° 50' 35.40"" W",11/14/2018,Report Change
WCKQ,5B04,104.1,26644,CAMPBELLSVILLE,KY,"37° 20' 7.20"" N 85° 22' 32.80"" W",8/11/2018,Report Change
WLUP,73CB,105.3,54838,CAMBRIDGE,MN,"45° 34' 39.80"" N 93° 12' 56.80"" W",8/11/2018,Report Change
WWQC,A962,107.3,185080,CLIFTON,IL,"40° 57' 6.00"" N 88° 10' 53.00"" W",11/14/2018,Report Change
KOBC,3514,90.7,51096,JOPLIN,MO,"37° 3' 8.20"" N 94° 23' 20.80"" W",11/14/2018,Report Change
WZLC,97CC,88.9,173901,SUMMERVILLE,SC,"33° 11' 33.60"" N 80° 33' 50.40"" W",11/14/2018,Report Change
KUWX,4723,90.9,92820,PINEDALE,WY,"42° 50' 39.70"" N 109° 55' 26.50"" W",11/14/2018,Report Change
WLFX,724D,106.7,4809,BEREA,KY,"37° 39' 36.30"" N 84° 8' 59.70"" W",8/11/2018,Report Change
WSPX,85CD,94.5,54503,BOWMAN,SC,"33° 19' 13.60"" N 80° 43' 51.30"" W",8/11/2018,Report Change
KPDQ-FM,37FA,93.9,58629,PORTLAND,OR,"45° 29' 19.40"" N 122° 41' 44.30"" W",8/11/2018,Report Change
WOKW,7ABA,102.9,55251,CURWENSVILLE,PA,"41° 4' 29.20"" N 78° 31' 57.10"" W",8/11/2018,Report Change
KDOB,1959,91.5,172931,BROOKINGS,OR,"42° 7' 22.30"" N 124° 18' 0.30"" W",11/14/2018,Report Change
KQXF,3C9B,107.3,52904,OSCEOLA,AR,"35° 45' 59.30"" N 89° 55' 43.30"" W",8/11/2018,Report Change
KPVS,39D0,95.9,51240,HILO,HI,"19° 50' 8.00"" N 155° 6' 33.00"" W",8/11/2018,Report Change
KGGL,A27F,93.3,63874,MISSOULA,MT,"47° 1' 56.70"" N 113° 59' 34.30"" W",8/11/2018,Report Change
KRFN,3D73,100.9,48683,SPARKS,NV,"39° 22' 3.60"" N 119° 47' 10.60"" W",8/11/2018,Report Change
KIFT-FM5,25B5,106.3,165719,DILLON,CO,"39° 36' 49.90"" N 106° 4' 4.00"" W",8/11/2018,Report Change
KMMI,A3F0,98.7,170982,LOLETA,CA,"41° 5' 58.40"" N 124° 7' 35.30"" W",8/11/2018,Report Change
WKUR-LP,7129,94.9,195838,RENFRO VALLEY,KY,"37° 18' 59.30"" N 84° 18' 13.70"" W",10/31/2018,Report Change
KTTI,4422,95.1,62234,YUMA,AZ,"32° 38' 31.20"" N 114° 33' 36.80"" W",8/11/2018,Report Change
WCEL,5A63,91.9,44032,PLATTSBURGH,NY,"44° 46' 27.10"" N 73° 36' 46.50"" W",11/14/2018,Report Change
KRTZ,3EEB,98.7,16435,CORTEZ,CO,"37° 13' 9.90"" N 108° 48' 28.30"" W",8/11/2018,Report Change
WHMA-FM,685C,95.3,52320,ALEXANDRIA,AL,"33° 37' 38.40"" N 85° 53' 24.90"" W",8/11/2018,Report Change
KVOV,48F5,90.5,8764,CARBONDALE,CO,"39° 25' 7.90"" N 107° 22' 12.10"" W",11/14/2018,Report Change
KLOV,2E8D,89.3,79246,WINCHESTER,OR,"43° 14' 7.40"" N 123° 19' 22.30"" W",11/14/2018,Report Change
KPZE-FM,3A2A,106.1,77842,CARLSBAD,NM,"32° 47' 38.40"" N 104° 12' 30.80"" W",8/11/2018,Report Change
WTMK,8816,88.5,90498,WANATAH,IN,"41° 18' 15.10"" N 87° 1' 30.10"" W",11/14/2018,Report Change
KBLU-LP,13D6,92.3,194269,LOGAN,UT,"41° 44' 42.80"" N 111° 48' 18.80"" W",10/31/2018,Report Change
WGCM-FM,64C0,102.3,19070,GULFPORT,MS,"30° 20' 44.70"" N 89° 11' 47.10"" W",8/11/2018,Report Change
